App Id,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Price,Size
com.urbangirl.ugbazaar,3.9,39,"1,000+",1000,4618,0,32M
me.quiclearn.translate_en_fa,4.3,430,"10,000+",10000,19379,0,3.9M
com.palmer.cooltopuprecharge.reseller,0,0,50+,50,52,0,19M
com.soundboard.redjunglefowlfemale,3.9,36,"5,000+",5000,8964,0,13M
com.exposure.teamtampasports,0,0,500+,500,800,0,27M
com.alex.diafaneia,5,42,100+,100,232,0,3.7M
com.frozenmoth.bearwp,4.6,113,"5,000+",5000,8535,0,2.9M
com.MirrorImage.ThickHair,0,0,100+,100,238,0,5.0M
com.ss.instacollage,3.6,1093,"1,000,000+",1000000,2534748,0,19M
com.bettipsscorematch,4.8,20,500+,500,828,0,19M
versionx.guardpatrol,0,0,100+,100,299,0,5.1M
com.GameChangers.PianoTunesNightChangesOneDirection,3.6,16,"1,000+",1000,2591,0,26M
com.official.celebriffy,4.6,11,"1,000+",1000,3434,0,54M
com.isal2nd.bandacalypso.brazil,4,28,"10,000+",10000,10222,0,6.4M
br.com.teletaxiteresina.taxi.taximachine,4.7,6,500+,500,577,0,5.4M
com.nirasourikay.callbendy,4.2,82,"5,000+",5000,9687,0,7.3M
no.kommune.sandefjord.innsiden,0,0,"1,000+",1000,1054,0,13M
com.saic.OKeFOG,0,0,50+,50,87,0,11M
zw.ac.msu.android.sponsors,0,0,100+,100,272,0,16M
com.apps.bloodbank,0,0,1+,1,2,0,15M
com.bytescaffold.limitlesspaint,4.5,236,"10,000+",10000,34125,1.99,1.6M
com.goup.alonemarchme,0,0,500+,500,538,0,11M
com.ionicframework.costofliving241255,3.2,10,"1,000+",1000,3917,0,11M
com.ynvapps.weaponsringtones,3.4,89,"50,000+",50000,77299,0,6.7M
com.pro.betting,0,0,5+,5,8,0,30M
uk.ac.ox.ibme.stayactive,0,0,5+,5,9,0,9.4M
org.cocos2d.WordLine,0,0,100+,100,267,0,28M
